environment,material,location,notes
aquatic biome [ENVO_00002030]_marine pelagic biome_NA,seawater,pelagic,
ENVO:00000447_ENVO:01000007_ENVO:01000130,,,
NA,,,
marine_reef_kelp forest_NA,seawater,coastal,check
Marine_Water_NA,seawater,pelagic,
marine biome_open ocean_water,seawater,pelagic,
sea water_continental shelf_NA,seawater,coastal,
marine pelagic biome_ocean_NA,seawater,pelagic,
marine biome [ENVO:00000447]_sea water [ENVO:00002149]_sea water [ENVO:00002149],seawater,pelagic,
marine biome_marine_NA,seawater,pelagic,
ENVO:00000447_ENVO:00002042_ENVO:00002010,seawater,pelagic,
marine biome_marine biome_NA,seawater,pelagic,
marine_subseafloor aquifer_NA,sediment,pelagic,
marine biome_seawater_NA,seawater,pelagic,
ocean_ocean water_NA,seawater,pelagic,
Marine (coastal seawater)_Not applicable_NA,seawater,coastal,
ocean_Oxygene Minimum Zone_NA,seawater,pelagic,
marine water sample_water column sample_NA,seawater,pelagic,
ENVO:01000048_ENVO:01000035_ENVO:00002150,seawater,coastal,
Marine Biome_Surface Water_Sea Water,seawater,pelagic,
ENVO 01000047_ENVO 0000569_ENVO 00002150,seawater,coastal,
ENVO 01000043_ENVO 00000569_ENVO 00002150,seawater,coastal,
ENVO:01000252 freshwater lake biome_ENVO:00002042 surface water_ENVO:00000021 freshwater lake,freshwater,,
Marine_Surface_Seawater,seawater,pelagic,
ENVO:00000447 for marine biome_ENVO:00002042 for surface water_ENVO:00000569 for seawater,seawater,pelagic,
ENVO:00000447_ENVO:00000447_seawater,seawater,pelagic,
Estuarine Biome_Surface Water_Coastal water,seawater,coastal,
NE Atlantic_Surface Water_Coastal water,seawater,coastal,
ENVO:00000447 for marine biome_ENVO:00002042 for surface water_ENVO:00002010 for seawater,seawater,pelagic,
"ENVO:01000047\, MEDITERREAN SEA BIOME_ENVO:00002042\, SURFACE WATER_ENVO:00002010\, SEA WATER",seawater,pelagic,
outer slope of the reef_NA,seawater,coastal,
"ENVO:00000038\, LAGOON_ENVO:00002042\, SURFACE WATER_ENVO:00002019\, BRACKISH WATER",seawater,coastal,brackish
"ocean\, this term applies to plant growth forms._open coast_seawater",seawater,coastal,
Marine_Surface water_sea water,seawater,pelagic,
ENVO:00000447 MARINE BIOME_ENVO:00002042 SURFACE WATER_ENVO:00002010 SEAWATER,seawater,pelagic,
Surface Water_-_NA,seawater,pelagic,
Marine biome - coastal_surface water_seawater,seawater,coastal,
coastal marine estuary_estuary_ocean water,seawater,coastal,
marine biome_surface water_seawater,seawater,pelagic,
marine biome_surface water_2010,seawater,pelagic,
Marine pelagic_Costal water_Surface water,seawater,pelagic,
Surface marine water_Surface Marine water_niskin bottle,seawater,pelagic,
1000035_2223_Deep Chlorophyll Maximum,seawater,pelagic,deep
ENVO:01000035_ENVO:00002223_ENVO:00002042,seawater,pelagic,
"ENVO:01000047 MEDITTEREAN SEA BIOME_ENVO:00002042\, SURFACE WATER_ENVO:00002010\, SEA WATER",seawater,pelagic,
Marine near barrier island_Surface water_influenced by Mississippi River output,seawater,coastal,
ENVO:00000447_ENVO:00002042_seawater,seawater,pelagic,
Marine Biome_marine Habitat_Surface water,seawater,pelagic,
Meromictic lakes are unusual hydrological formations where bodies of water follow a seasonal cycle of stratifi- cation but do not mix completely._meromictic lake that communicates with the Mediterranean Sea through channels_lake,freshwater,NA,check
"marine_At time of collection\, there was an algal bloom occurring._NA",seawater,pelagic,
Marine biome 00000447_Surface water 00002042_ 00000569_Seawater_00002010_00002149,seawater,pelagic,
ENVO:00000447_ENVO:00002042_ENVO:01000301,seawater,pelagic,
marine biome_surface water_Seawater,seawater,pelagic,
marine pelagic biome_mixed surface layer_sea water,seawater,pelagic,
"Atlantic Ocean_Nearshore environment\, 25' water_water",seawater,coastal,
Caribbean Sea_back reef environment near mesoamerican reef_water,seawater,coastal,
ENVO 01000047_ENVO 0000569_ENVO 00002227,,,
ENVO 01000047_ENVO 0000570_ENVO 00002150,seawater,coastal,
0_0_0,,,
Mediterranean_Mediterranean_Fridge,seawater,,check
ENV:00000447_ENV:00002042_ENV:00002010,seawater,pelagic,
Brackish water river_connection to Chesapeake Bay Estruary_seawater,seawater,coastal,brackish
"Marine environment_Belgian marine environment\, sample taken at 3 meters depth_Sterile flask",seawater,,check
Marine_Surfacel waters_Sea Water,seawater,pelagic,
marine biome_marine habitat_surface water,seawater,pelagic,
ENVO:00000039_ENVO:00002150_ENVO:00002010,seawater,pelagic,
ENVO:01000023_ENVO:01000080_ENVO:00002223,seawater,pelagic,
This is a filtered seawater sample_Sample comes from a sea loch with a North Atlantic influence_Sterivex filter,seawater,coastal,
Seawater_Atlantic_seawater,seawater,pelagic,
seawater_seawater_seawater,seawater,pelagic,
in situ Sea Water_Iroise sea_polypropylene bottle,seawater,pelagic,
ENVO:00000447 marine biome_The site is in the outerpart of the Oslofjord_ENVO:00002010 seawater,seawater,coastal,
ENVO:00000447 marine biome_ENVO:00002042 Surface water_ENVO:00002010 seawater,seawater,pelagic,
ENVO:00000447 marine biome_Sheltered location near shore and weather station_Particulate matter on a 0.22 Um pore size filter,seawater,coastal,
ENVO:01000023_ENVO:00002042_ENVO:00002010,seawater,pelagic,
ENVO:00000447 for marine biome_ENVO:00002151 for ocean water_ENVO:00002010 for seawater,seawater,pelagic,
costal lagoon periodically connected to the Atlantic Ocean_ENVO:00002042_ENVO:00002042,seawater,coastal,
ENVO:marine biome_ENVO:water_Sterivex cartridges,seawater,pelagic,
costal lagoon periodicay coneccted to the Atlantic Ocean_ENVO:00002042_ENVO:00002042,seawater,coastal,
ENVO:00000447_ENVO:00000569_ENVO:00002042,seawater,pelagic,
"Marine environment_Belgian marine environment\, sample taken at surface_Sterile flask",seawater,pelagic,
Estuary_Subtropical_Water,seawater,coastal,
Oceanic_Continental Shelf_Water,seawater,coastal,
Atlantic ocean_Fjord water_30 L Plastic container,seawater,coastal,
"Ocean\, Temperate\, Oligotrophic_Coastal\, North-West Mediterranean_PVDF and polycarbonate filters",seawater,coastal,
ENVO:0000047_ENVO:00002042_ENVO_00002010,seawater,pelagic,
Mediterranean Sea:_ultra oligotropic_vv,seawater,pelagic,
ENVO:00000447 marine biome_ENVO:00002042 surface water_ENVO:00002010 seawater,seawater,pelagic,
ENVO:00000039_ENVO:00002151_ENVO:00002010,seawater,pelagic,
ENVO:00000039_ENVO:00002042_ENVO:00002010,seawater,pelagic,
ENVO:00000039_ENVO:00002002_ENVO:00002010,seawater,pelagic,
ENVO:0000447_ENVO:00002149_ENVO:00002149,seawater,pelagic,
oligotrophic_eastern Mediterranean Sea_l,seawater,pelagic,
Gulf of Eilat_oligotropic_vv,seawater,pelagic,check
Coastal Sea area_Pelagic isothermal surface_Mesotrophic water,seawater,coastal,
ENVO:01000020_ENVO:00002042_ENVO.00002150,seawater,coastal,
ENVO:00000447_ENVO:00002042_ENVO.00002110,seawater,pelagic,check
water_42664_Coastal Sea area,seawater,coastal,
891_2042_2011,,,check
ENVO: 01000023_ENVO: 00002042_ENVO: 00002149,seawater,pelagic,
ocean_biome_ocean_NA,seawater,pelagic,
ocean biome_ocean_NA,seawater,pelagic,
ocean biome_marine wind mixed layer_NA,seawater,pelagic,
pelagic ocean biome_shallow ocean water column_NA,seawater,pelagic,
Marine_Gulf of Aqaba_NA,seawater,pelagic,check
marine biome [ENVO:00000447]_microbial feature [ENVO:00002150]_coastal sea water [ENVO:00002150],seawater,coastal,
ocean_offshore_NA,seawater,coastal,
Marine metagenome_marine_Seawater,seawater,pelagic,
ocean_pelagic_sea water,seawater,pelagic,
marine biome [ENVO:00000447]_microbial community [PCO:1000004]_sea water [ENVO:00002149],seawater,pelagic,
estuarine biome [ENVO:01000020]_microbial community [PCO:1000004]_sea water [ENVO:00002149],seawater,coastal,
marginal sea biome [ENVO:01000046]_microbial community [PCO:1000004]_sea water [ENVO:00002149],seawater,pelagic,
coastal wetland ecosystem [ENVO:00000230]_microbial community [PCO:1000004]_sea water [ENVO:00002149],seawater,coastal,
neritic epipelagic zone biome [ENVO:01000042]_microbial community [PCO:1000004]_sea water [ENVO:00002149],seawater,pelagic,
marine pelagic biome [ENVO:01000023]_microbial community [PCO:1000004]_sea water [ENVO:00002149],seawater,pelagic,
mediterranean sea biome [ENVO:01000047]_microbial community [PCO:1000004]_sea water [ENVO:00002149],seawater,pelagic,
lagoon [ENVO:00000038]_microbial community [PCO:1000004]_sea water [ENVO:00002149],seawater,coastal,
temperate marine upwelling biome [ENVO:01000860]_microbial community [PCO:1000004]_sea water [ENVO:00002149],seawater,pelagic,
oceanic epipelagic zone biome [ENVO:01000035]_marine pelagic zone [ENVO:00000208]_NA,seawater,pelagic,
marine biome_mariculture biome_NA,seawater,coastal,check
