environment,material,location,notes
aquatic biome [ENVO_00002030]_marine pelagic biome_NA,water,oceanic,
ENVO:00000447_ENVO:01000007_ENVO:01000130_NA,,,check
surface seawater,water,oceanic,check
seawater,water,oceanic,check
atlantic ocean plastic,water,neritic,plastic
atlantic ocean water,water,,
mediterranean sea plastic,substrate,,plastic
mediterranean sea water,water,,check
eden landing ponds san francisco ca usa,water,neritic,
cabo rojo puerto rico,water,neritic,
a23 p1 aerobic enrichment on pine of planktonic cells taken from a salt flat in the south bay ca,water,neritic,
missing,,,
bioluminescent bay la paraguera puerto rico,water,neritic,
tt an e2 anaerobic enrichment on eucalyptus from sediment taken from thalassia testudinum beds off the bioluminescent bay near la parguera pr,substrate,neritic,sediment
tt an m1 anaerobic enrichment on miscanthus from sediment taken from thalassia testudinum beds off the bioluminescent bay near la parguera pr,substrate,neritic,sediment
tt an p1-techrep anaerobic enrichment on pine from sediment taken from thalassia testudinum beds off the bioluminescent bay near la parguera pr,substrate,neritic,sediment
tt an p1 anaerobic enrichment on pine from sediment taken from thalassia testudinum beds off the bioluminescent bay near la parguera pr,substrate,neritic,sediment
a23 p1 feedstock associated aerobic enrichment on pine of planktonic cells taken from a salt flat in the south bay ca,substrate,neritic,sediment
tt ae e1 feedstock associated aerobic enrichment on eucalyptus from sediment taken from thalassia testudinum beds off the bioluminescent bay near la parguera pr,substrate,neritic,sediment
tt ae p1 feedstock associated aerobic enrichment on pine from sediment taken from thalassia testudinum beds off the bioluminescent bay near la parguera pr,substrate,neritic,sediment
pacific ocean,water,oceanic,check
south atlantic ocean,water,oceanic,
saanich inlet british columbia canada,water,neritic,
monterey bay california usa,water,neritic,
sea water,water,oceanic,check
marine_reef_kelp forest_NA,substrate,neritic,check
helgoland north sea atlantic ocean,water,neritic,check
Marine_Water_NA,water,,check
subsurface seawater from pelagic zone,water,oceanic,
not applicable,,,
ocean,water,oceanic,
marine biome_open ocean_water_NA,water,oceanic,
subseafloor crustal fluids,sediment,oceanic,
bottom seawater,water,,check
subseafloor crustal fluids from cork 1301a-ss,sediment,,
seawater above cork 1362b,water,,
seawater nearby cork 1026b,water,,
subseafloor crustal fluids from cork 1362b-bio,sediment,,
subseafloor crustal fluids from cork 1362a-bio-deep,sediment,,
subseafloor crustal fluids from cork 1362a-ss-shallow,sediment,,
marine water column,water,,check
marine water oceanic,water,oceanic,
harbor water,water,neritic,
sea water_continental shelf_NA,water,neritic,
water column,water,,check
marine pelagic biome_ocean_NA,water,oceanic,
marine biome [ENVO:00000447]_sea water [ENVO:00002149]_sea water [ENVO:00002149]_NA,water,oceanic,
marine biome_marine_seawater,water,,
marine water from a patagonian fjord,water,neritic,
pelagic,water,oceanic,check
ENVO:00000447_ENVO:00002042_ENVO:00002010_NA,water,oceanic,
columbia river estuary,water,neritic,
mediterranean sea,water,oceanic,
south georgia island atlantic ocean,water,neritic,
west anvers island antarctica,water,neritic,
filter of ocean water sample,water,oceanic,
synthetic chitin particles colonized with microbes from coastal seawater,substrate,neritic,
fram strait south atlantic ocean,water,neritic,
marine biome_marine biome_deep chlorophyll maximum zone in the mediterranean sea,water,oceanic,
balearic sea spain,water,oceanic,
south of funchal north atlantic ocean,water,oceanic,
northeast of antigua and barbuda north atlantic ocean,water,oceanic,
west of santa cruz de la palma atlantic ocean,water,neritic,check
west of el salvador pacific ocean,water,oceanic,check
east of antigua and barbuda atlantic ocean,water,oceanic,check
southwest of acapulco mexico north pacific ocean,water,oceanic,check
west of cabo san lucas mexico north pacific ocean,water,oceanic,check
east of hawaii north pacific ocean,water,oceanic,check
north pacific ocean,water,oceanic,check
south of fiji south pacific ocean,water,oceanic,check
north of tokelau south pacific ocean,water,oceanic,check
south indian ocean,water,oceanic,check
south of port of lincoln great australian bight south indian ocean,water,oceanic,check
west of perth australia south indian ocean,water,oceanic,check
south of eden south pacific ocean,water,oceanic,check
east of madagascar south indian ocean,water,oceanic,check
east of durban south africa south indian ocean,water,oceanic,check
west of cape town south africa south atlantic ocean,water,oceanic,check
east of rio de janeiro brazil south atlantic ocean,water,oceanic,check
east of porto seguro south atlantic ocean,water,oceanic,check
coastal waters,water,neritic,
estuarine water,water,neritic,
sea water from 250 m depth,water,oceanic,
seawater from antarctic bottom water,water,oceanic,
seawater from oxygen minimum zone,water,oceanic,
marine_subseafloor aquifer_NA,sediment,oceanic,check
marine biome_seawater_NA,water,oceanic,check
marine biome_marine biome_mediterranean seawater enriched with a specific particulate matter,substrate,oceanic,
sea water from the dcm zone,water,oceanic,
seawater from antarctic intermediate water,water,oceanic,check
ocean_ocean water_NA,water,oceanic,check
Marine (coastal seawater)_Not applicable_NA,water,neritic,
ocean_Oxygene Minimum Zone_NA,water,oceanic,check
marine water sample_water column sample_NA,water,oceanic,check
ENVO:01000048_ENVO:01000035_ENVO:00002150_NA,water,neritic,
Marine Biome_Surface Water_Sea Water_NA,water,oceanic,check
ENVO 01000047_ENVO 0000569_ENVO 00002150_NA,water,neritic,
ENVO 01000043_ENVO 00000569_ENVO 00002150_NA,water,neritic,
ENVO:01000252 freshwater lake biome_ENVO:00002042 surface water_ENVO:00000021 freshwater lake_NA,water,lake,check
Marine_Surface_Seawater_NA,water,oceanic,check
ENVO:00000447 for marine biome_ENVO:00002042 for surface water_ENVO:00000569 for seawater_NA,water,oceanic,check
ENVO:00000447_ENVO:00000447_seawater_NA,water,oceanic,check
Estuarine Biome_Surface Water_Coastal water_NA,water,neritic,
NE Atlantic_Surface Water_Coastal water_NA,water,neritic,
ENVO:00000447 for marine biome_ENVO:00002042 for surface water_ENVO:00002010 for seawater_NA,water,oceanic,check
"ENVO:01000047\, MEDITERREAN SEA BIOME_ENVO:00002042\, SURFACE WATER_ENVO:00002010\, SEA WATER_NA",water,oceanic,check
outer slope of the reef_NA,water,neritic,
"ENVO:00000038\, LAGOON_ENVO:00002042\, SURFACE WATER_ENVO:00002019\, BRACKISH WATER_NA",water,neritic,
"ocean\, this term applies to plant growth forms._open coast_seawater_NA",water,neritic,
Marine_Surface water_sea water_NA,water,oceanic,check
ENVO:00000447 MARINE BIOME_ENVO:00002042 SURFACE WATER_ENVO:00002010 SEAWATER_NA,water,oceanic,check
Surface Water_-_NA,water,oceanic,check
Marine biome - coastal_surface water_seawater_NA,water,neritic,
coastal marine estuary_estuary_ocean water_NA,water,neritic,
marine biome_surface water_seawater_NA,water,oceanic,check
marine biome_surface water_2010_NA,water,oceanic,check
Marine pelagic_Costal water_Surface water_NA,water,neritic,
Surface marine water_Surface Marine water_niskin bottle_NA,water,neritic,
1000035_2223_Deep Chlorophyll Maximum_NA,water,oceanic,check
ENVO:01000035_ENVO:00002223_ENVO:00002042_NA,water,oceanic,check
"ENVO:01000047 MEDITTEREAN SEA BIOME_ENVO:00002042\, SURFACE WATER_ENVO:00002010\, SEA WATER_NA",water,oceanic,check
Marine near barrier island_Surface water_influenced by Mississippi River output_NA,water,neritic,
ENVO:00000447_ENVO:00002042_seawater_NA,water,oceanic,check
Marine Biome_marine Habitat_Surface water_NA,water,oceanic,check
Meromictic lakes are unusual hydrological formations where bodies of water follow a seasonal cycle of stratifi- cation but do not mix completely._meromictic lake that communicates with the Mediterranean Sea through channels_lake_NA,water,lake,check
"marine_At time of collection\, there was an algal bloom occurring._NA",water,oceanic,check
Marine biome 00000447_Surface water 00002042_ 00000569_Seawater_00002010_00002149_NA,water,oceanic,check
ENVO:00000447_ENVO:00002042_ENVO:01000301_NA,water,neritic,
marine biome_surface water_Seawater_NA,water,oceanic,check
marine pelagic biome_mixed surface layer_sea water_NA,water,oceanic,check
"Atlantic Ocean_Nearshore environment\, 25' water_water_NA",water,neritic,
Caribbean Sea_back reef environment near mesoamerican reef_water_NA,water,neritic,
ENVO 01000047_ENVO 0000569_ENVO 00002227_NA,water,oceanic,check
ENVO 01000047_ENVO 0000570_ENVO 00002150_NA,water,neritic,
0_0_0_NA,,,
Mediterranean_Mediterranean_Fridge_NA,water,,check
